Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,-0.17931,2.33E-11,-1.15E-11,-1.89E-09
39782,0.64,-0.35862,6.31E-11,-1.60E-11,-5.67E-09
39772,0.64,-0.65747,-1.13E-10,8.52E-10,-1.15E-08
39722,0.64,-2.1517,-1.91E-12,2.99E-12,2.75E-10
39990,0.635,-2.3609,-2.82E-13,1.34E-12,2.14E-10
31771,0.6375,-2.3759,-1.80E-12,1.92E-12,2.05E-10
39989,0.635,-2.3908,-7.03E-13,2.42E-12,1.98E-10
39715,0.64,-2.3609,-2.07E-12,3.15E-12,2.11E-10
39738,0.64,-1.6736,-3.31E-12,3.58E-12,3.16E-10
39739,0.64,-1.6437,-3.06E-12,3.42E-12,3.09E-10
40013,0.635,-1.6736,-2.42E-12,3.48E-13,3.15E-10
39762,0.64,-0.95632,-2.18E-11,1.00E-11,-1.56E-09
39732,0.64,-1.8529,-2.37E-12,3.02E-12,3.26E-10
39781,0.64,-0.38851,8.06E-11,-3.23E-11,-6.69E-09
39787,0.64,-0.2092,3.31E-11,-1.37E-11,-2.30E-09
39785,0.64,-0.26897,3.60E-11,-1.95E-11,-3.31E-09
39716,0.64,-2.331,-1.78E-12,3.21E-12,2.21E-10
32050,0.6375,-0.37356,4.22E-11,1.85E-11,-6.14E-09
40057,0.635,-0.35862,1.30E-10,-1.15E-12,-5.55E-09
40014,0.635,-1.6437,-3.16E-12,7.24E-13,3.05E-10
40061,0.635,-0.23908,6.11E-11,-6.59E-12,-2.74E-09
39786,0.64,-0.23908,3.11E-11,-9.39E-12,-2.78E-09
39777,0.64,-0.50805,8.75E-11,-2.86E-10,-1.40E-08
39767,0.64,-0.8069,-4.26E-11,3.95E-11,-3.66E-09
39757,0.64,-1.1057,-1.25E-11,5.13E-12,-5.85E-10
39742,0.64,-1.554,-3.63E-12,3.09E-12,2.76E-10
39727,0.64,-2.0023,-2.08E-12,2.96E-12,3.08E-10
39717,0.64,-2.3011,-1.78E-12,3.13E-12,2.31E-10
39779,0.64,-0.44828,1.12E-10,-9.63E-11,-9.67E-09
39780,0.64,-0.41839,9.30E-11,-6.17E-11,-8.10E-09
32041,0.6375,-0.43333,1.20E-10,-1.33E-25,-8.84E-09
40055,0.635,-0.41839,1.73E-10,-3.16E-11,-8.12E-09
