Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,-0.17931,-2.79E-05,1.31E-04,-1.56E-03
39782,0.64,-0.35862,-2.90E-05,9.56E-05,-1.63E-03
39772,0.64,-0.65747,-2.79E-05,8.67E-05,-1.62E-03
39722,0.64,-2.1517,-2.67E-05,1.07E-04,5.15E-05
39990,0.635,-2.3609,-1.02E-06,4.67E-05,6.18E-04
31771,0.6375,-2.3759,-2.23E-05,6.26E-05,6.77E-04
39989,0.635,-2.3908,-9.58E-06,9.89E-05,7.22E-04
39715,0.64,-2.3609,-3.00E-05,1.11E-04,6.33E-04
39738,0.64,-1.6736,-2.93E-05,1.11E-04,-8.46E-04
39739,0.64,-1.6437,-2.84E-05,1.07E-04,-9.00E-04
40013,0.635,-1.6736,-2.07E-06,9.94E-06,-8.46E-04
39762,0.64,-0.95632,-2.79E-05,8.78E-05,-1.51E-03
39732,0.64,-1.8529,-2.77E-05,9.81E-05,-5.73E-04
39781,0.64,-0.38851,-2.79E-05,9.60E-05,-1.64E-03
39787,0.64,-0.2092,-2.44E-05,1.07E-04,-1.57E-03
39785,0.64,-0.26897,-2.73E-05,9.93E-05,-1.61E-03
39716,0.64,-2.331,-2.52E-05,1.18E-04,5.45E-04
32050,0.6375,-0.37356,-2.90E-05,3.90E-05,-1.63E-03
40057,0.635,-0.35862,-2.41E-06,3.57E-05,-1.64E-03
40014,0.635,-1.6437,-1.70E-06,1.98E-05,-8.98E-04
40061,0.635,-0.23908,-1.16E-06,3.78E-05,-1.61E-03
39786,0.64,-0.23908,-2.95E-05,1.04E-04,-1.59E-03
39777,0.64,-0.50805,-2.76E-05,8.74E-05,-1.63E-03
39767,0.64,-0.8069,-2.77E-05,8.69E-05,-1.57E-03
39757,0.64,-1.1057,-2.80E-05,8.86E-05,-1.42E-03
39742,0.64,-1.554,-2.76E-05,9.31E-05,-1.01E-03
39727,0.64,-2.0023,-2.71E-05,1.02E-04,-2.93E-04
39717,0.64,-2.3011,-2.60E-05,1.15E-04,4.58E-04
39779,0.64,-0.44828,-2.65E-05,8.20E-05,-1.64E-03
39780,0.64,-0.41839,-2.83E-05,9.96E-05,-1.63E-03
32041,0.6375,-0.43333,-5.63E-06,6.25E-21,-1.64E-03
40055,0.635,-0.41839,-3.03E-06,9.71E-06,-1.64E-03
39774,0.64,-0.5977,-2.72E-05,8.19E-05,-1.63E-03
39775,0.64,-0.56782,-3.02E-05,9.97E-05,-1.62E-03
32019,0.6375,-0.58276,-5.92E-06,2.50E-22,-1.63E-03
40050,0.635,-0.56782,-1.99E-06,7.18E-06,-1.62E-03
39769,0.64,-0.74713,-2.67E-05,8.55E-05,-1.60E-03
39770,0.64,-0.71724,-2.87E-05,9.83E-05,-1.60E-03
32000,0.6375,-0.73218,-6.52E-06,-3.16E-20,-1.60E-03
40045,0.635,-0.71724,-4.45E-06,9.77E-06,-1.60E-03
39764,0.64,-0.89655,-2.69E-05,8.16E-05,-1.54E-03
39765,0.64,-0.86667,-2.87E-05,9.87E-05,-1.55E-03
31979,0.6375,-0.88161,-6.43E-06,-1.85E-20,-1.55E-03
40040,0.635,-0.86667,-4.55E-06,9.87E-06,-1.55E-03
39759,0.64,-1.046,-2.71E-05,8.27E-05,-1.47E-03
39760,0.64,-1.0161,-2.89E-05,9.99E-05,-1.47E-03
31960,0.6375,-1.031,-6.45E-06,5.49E-21,-1.47E-03
40035,0.635,-1.0161,-4.56E-06,9.94E-06,-1.48E-03
39754,0.64,-1.1954,-2.69E-05,8.39E-05,-1.37E-03
39755,0.64,-1.1655,-2.88E-05,1.01E-04,-1.38E-03
31938,0.6375,-1.1805,-6.17E-06,3.71E-20,-1.38E-03
40030,0.635,-1.1655,-4.33E-06,9.99E-06,-1.38E-03
39749,0.64,-1.3448,-2.98E-05,1.18E-04,-1.24E-03
39750,0.64,-1.3149,-2.83E-05,1.04E-04,-1.26E-03
31916,0.6375,-1.3299,-5.97E-06,-1.50E-20,-1.26E-03
40025,0.635,-1.3149,-4.18E-06,1.14E-05,-1.26E-03
39729,0.64,-1.9425,-2.61E-05,9.44E-05,-4.21E-04
39730,0.64,-1.9126,-2.81E-05,1.13E-04,-4.67E-04
31833,0.6375,-1.9276,-4.22E-06,-6.43E-20,-4.48E-04
40005,0.635,-1.9126,-1.99E-06,1.10E-05,-4.65E-04
39724,0.64,-2.092,-2.54E-05,9.92E-05,-1.02E-04
39725,0.64,-2.0621,-2.75E-05,1.18E-04,-1.62E-04
31812,0.6375,-2.077,-2.84E-06,-8.04E-21,-1.37E-04
40000,0.635,-2.0621,-6.52E-07,1.13E-05,-1.58E-04
39771,0.64,-0.68736,-2.88E-05,9.38E-05,-1.61E-03
39766,0.64,-0.83678,-2.88E-05,9.41E-05,-1.56E-03
39761,0.64,-0.98621,-2.90E-05,9.52E-05,-1.50E-03
