Maille air = 5 cm ; maille ecran = 2cm,,,,,,,,,,,
z (m),Bx_terr (T),By_terr (T),Bz_terr (T),z (m),Bx_terr (T),By_terr (T),Bz_terr (T),,,,
-0.7,4.86E-08,3.17E-08,-8.56E-06,0,5.09E-07,5.28E-07,-5.37E-05,,,,
-0.712871,5.29E-08,3.82E-08,-8.32E-06,-1.29E-02,5.98E-07,5.97E-07,-5.12E-05,,,,
-0.725743,5.42E-08,5.11E-08,-8.08E-06,-2.59E-02,5.84E-07,5.62E-07,-5.04E-05,,,,
-0.738614,7.00E-08,1.69E-09,-7.66E-06,-3.88E-02,5.71E-07,5.28E-07,-4.96E-05,,,,
-0.751485,4.17E-08,3.70E-08,-7.45E-06,-5.17E-02,5.64E-07,5.00E-07,-4.88E-05,,,,
-0.764356,1.24E-08,4.71E-08,-7.23E-06,-6.47E-02,5.86E-07,4.99E-07,-4.78E-05,,,,
-0.777228,2.29E-08,4.54E-08,-7.02E-06,-7.76E-02,6.08E-07,4.98E-07,-4.68E-05,,,,
-0.790099,4.81E-08,4.25E-08,-6.80E-06,-9.05E-02,6.30E-07,4.96E-07,-4.58E-05,,,,
-0.80297,4.96E-08,4.76E-08,-6.55E-06,-0.10348,6.54E-07,5.18E-07,-4.47E-05,,,,
-0.81584,7.34E-08,6.76E-08,-6.38E-06,-0.11642,6.82E-07,5.73E-07,-4.34E-05,,,,
-0.82871,9.73E-08,8.77E-08,-6.20E-06,-0.12935,7.09E-07,6.29E-07,-4.22E-05,,,,
-0.84158,1.02E-07,9.84E-08,-6.01E-06,-0.14229,7.36E-07,6.85E-07,-4.09E-05,,,,
-0.85446,9.64E-08,1.04E-07,-5.80E-06,-0.15522,7.13E-07,7.03E-07,-3.96E-05,,,,
-0.86733,9.08E-08,1.10E-07,-5.60E-06,-0.16816,6.56E-07,6.95E-07,-3.83E-05,,,,
-0.8802,8.51E-08,1.15E-07,-5.40E-06,-0.18109,5.99E-07,6.87E-07,-3.69E-05,,,,
-0.89307,8.12E-08,9.95E-08,-5.26E-06,-0.19403,5.42E-07,6.79E-07,-3.56E-05,,,,
-0.90594,7.75E-08,8.25E-08,-5.13E-06,-0.20697,5.29E-07,6.03E-07,-3.46E-05,,,,
-0.91881,7.37E-08,6.55E-08,-5.00E-06,-0.2199,5.30E-07,5.09E-07,-3.36E-05,,,,
-0.93168,7.03E-08,5.21E-08,-4.87E-06,-0.23284,5.30E-07,4.14E-07,-3.27E-05,,,,
-0.94455,6.80E-08,5.02E-08,-4.75E-06,-0.24577,5.30E-07,3.19E-07,-3.17E-05,,,,
-0.95743,6.57E-08,4.82E-08,-4.64E-06,-0.25871,4.96E-07,3.81E-07,-3.08E-05,,,,
-0.9703,6.35E-08,4.62E-08,-4.52E-06,-0.27164,4.61E-07,4.45E-07,-2.99E-05,,,,
-0.98317,5.68E-08,4.68E-08,-4.41E-06,-0.28458,4.26E-07,5.08E-07,-2.89E-05,,,,
-0.99604,4.63E-08,4.95E-08,-4.30E-06,-0.29751,3.99E-07,5.63E-07,-2.80E-05,,,,
-1.00891,3.58E-08,5.22E-08,-4.19E-06,-0.31045,4.04E-07,5.74E-07,-2.71E-05,,,,
-1.02178,2.53E-08,5.48E-08,-4.08E-06,-0.32338,4.10E-07,5.85E-07,-2.61E-05,,,,
-1.03465,2.35E-08,5.36E-08,-4.01E-06,-0.33632,4.15E-07,5.96E-07,-2.52E-05,,,,
-1.04752,2.32E-08,5.17E-08,-3.94E-06,-0.34925,4.22E-07,5.74E-07,-2.42E-05,,,,
-1.0604,2.29E-08,4.98E-08,-3.88E-06,-0.36219,4.29E-07,4.98E-07,-2.32E-05,,,,
-1.07327,2.32E-08,4.73E-08,-3.82E-06,-0.37512,4.37E-07,4.22E-07,-2.22E-05,,,,
-1.08614,2.71E-08,4.12E-08,-3.76E-06,-0.38806,4.45E-07,3.46E-07,-2.12E-05,,,,
-1.09901,3.10E-08,3.51E-08,-3.70E-06,-0.401,4.43E-07,3.19E-07,-2.03E-05,,,,
-1.11188,3.48E-08,2.90E-08,-3.64E-06,-0.41393,4.34E-07,3.28E-07,-1.97E-05,,,,
-1.12475,3.48E-08,2.46E-08,-3.59E-06,-0.42687,4.25E-07,3.38E-07,-1.90E-05,,,,
-1.13762,2.97E-08,2.23E-08,-3.54E-06,-0.4398,4.17E-07,3.48E-07,-1.84E-05,,,,
-1.1505,2.47E-08,2.01E-08,-3.49E-06,-0.45274,4.11E-07,3.50E-07,-1.78E-05,,,,
-1.16337,1.97E-08,1.79E-08,-3.44E-06,-0.46567,4.06E-07,3.49E-07,-1.71E-05,,,,
-1.17624,1.43E-08,1.37E-08,-3.40E-06,-0.47861,4.01E-07,3.49E-07,-1.65E-05,,,,
-1.18911,8.77E-09,8.83E-09,-3.37E-06,-0.49154,3.95E-07,3.49E-07,-1.59E-05,,,,
-1.20198,4.41E-09,5.49E-09,-3.34E-06,-0.50448,4.00E-07,3.44E-07,-1.53E-05,,,,
-1.21485,3.23E-09,6.25E-09,-3.32E-06,-0.51741,4.04E-07,3.40E-07,-1.47E-05,,,,
-1.22772,3.02E-09,4.86E-09,-3.30E-06,-0.53035,4.09E-07,3.35E-07,-1.40E-05,,,,
-1.24059,2.93E-09,3.93E-09,-3.28E-06,-0.54328,4.07E-07,3.24E-07,-1.34E-05,,,,
-1.25347,3.07E-09,2.67E-09,-3.27E-06,-0.55622,3.69E-07,2.75E-07,-1.29E-05,,,,
-1.26634,4.61E-10,3.01E-09,-3.25E-06,-0.56915,3.31E-07,2.27E-07,-1.24E-05,,,,
-1.27921,1.51E-09,1.24E-09,-3.24E-06,-0.58209,2.92E-07,1.78E-07,-1.19E-05,,,,
-1.29208,1.25E-09,5.71E-11,-3.23E-06,-0.59502,2.54E-07,1.46E-07,-1.15E-05,,,,
-1.30495,4.29E-10,1.04E-09,-3.23E-06,-0.60796,2.14E-07,1.42E-07,-1.10E-05,,,,
-1.31782,-5.71E-10,2.68E-10,-3.23E-06,-0.6209,1.74E-07,1.39E-07,-1.06E-05,,,,
-1.33069,-2.06E-09,-3.50E-10,-3.23E-06,-0.63383,1.34E-07,1.35E-07,-1.02E-05,,,,
-1.34356,-3.68E-09,-8.81E-10,-3.24E-06,-0.64677,1.06E-07,1.32E-07,-9.85E-06,,,,
-1.35644,-4.60E-09,-1.69E-09,-3.24E-06,-0.6597,8.84E-08,1.29E-07,-9.57E-06,,,,
-1.36931,-4.82E-09,-2.79E-09,-3.25E-06,-0.67264,7.03E-08,1.25E-07,-9.30E-06,,,,
-1.38218,-4.94E-09,-3.67E-09,-3.26E-06,-0.68557,4.76E-08,5.81E-08,-8.86E-06,,,,
-1.39505,-4.43E-09,-3.85E-09,-3.28E-06,-0.69851,4.77E-08,3.30E-08,-8.58E-06,,,,
-1.40792,-2.43E-10,-4.82E-09,-3.31E-06,-0.71144,5.27E-08,3.62E-08,-8.34E-06,,,,
-1.42079,-2.92E-09,-4.17E-09,-3.33E-06,-0.72438,5.43E-08,5.10E-08,-8.10E-06,,,,
-1.43366,-6.88E-09,-1.19E-09,-3.35E-06,-0.73731,5.38E-08,5.24E-08,-7.90E-06,,,,
-1.44653,-5.34E-09,-6.58E-09,-3.39E-06,-0.75025,4.44E-08,3.36E-08,-7.47E-06,,,,
-1.45941,-7.58E-09,-6.08E-09,-3.42E-06,-0.76318,1.51E-08,4.67E-08,-7.25E-06,,,,
-1.47228,-9.10E-09,-6.11E-09,-3.45E-06,-0.77612,1.95E-08,4.59E-08,-7.04E-06,,,,
-1.48515,-1.18E-08,-6.02E-09,-3.49E-06,-0.78905,4.82E-08,4.23E-08,-6.82E-06,,,,
-1.49802,-6.80E-09,-3.73E-09,-3.52E-06,-0.80199,4.78E-08,4.60E-08,-6.57E-06,,,,
-1.51089,-1.14E-08,-1.12E-08,-3.56E-06,-0.81493,7.17E-08,6.62E-08,-6.39E-06,,,,
-1.52376,-1.97E-08,-2.23E-08,-3.61E-06,-0.82786,9.57E-08,8.63E-08,-6.21E-06,,,,
-1.53663,-2.68E-08,-3.20E-08,-3.66E-06,-0.8408,1.02E-07,9.81E-08,-6.02E-06,,,,
-1.5495,-3.08E-08,-3.79E-08,-3.74E-06,-0.85373,9.67E-08,1.04E-07,-5.82E-06,,,,
-1.56238,-3.48E-08,-4.38E-08,-3.82E-06,-0.86667,9.11E-08,1.09E-07,-5.61E-06,,,,
-1.57525,-3.87E-08,-4.97E-08,-3.90E-06,-0.8796,8.54E-08,1.15E-07,-5.41E-06,,,,
-1.58812,-4.73E-08,-4.86E-08,-3.98E-06,-0.89254,8.14E-08,1.00E-07,-5.27E-06,,,,
-1.60099,-5.96E-08,-4.21E-08,-4.07E-06,-0.90547,7.76E-08,8.31E-08,-5.14E-06,,,,
-1.61386,-7.18E-08,-3.56E-08,-4.15E-06,-0.91841,7.38E-08,6.60E-08,-5.00E-06,,,,
-1.62673,-8.40E-08,-2.91E-08,-4.24E-06,-0.93134,7.03E-08,5.22E-08,-4.87E-06,,,,
-1.6396,-8.30E-08,-3.57E-08,-4.33E-06,-0.94428,6.81E-08,5.02E-08,-4.76E-06,,,,
-1.65248,-7.97E-08,-4.44E-08,-4.43E-06,-0.95721,6.58E-08,4.82E-08,-4.64E-06,,,,
-1.66535,-7.65E-08,-5.32E-08,-4.53E-06,-0.97015,6.35E-08,4.62E-08,-4.52E-06,,,,
-1.67822,-7.44E-08,-6.14E-08,-4.64E-06,-0.98308,5.68E-08,4.68E-08,-4.41E-06,,,,
-1.69109,-7.87E-08,-6.68E-08,-4.76E-06,-0.99602,4.63E-08,4.95E-08,-4.30E-06,,,,
-1.704,-8.31E-08,-7.21E-08,-4.89E-06,-1.009,3.58E-08,5.22E-08,-4.19E-06,,,,
-1.7168,-8.74E-08,-7.74E-08,-5.01E-06,-1.0219,2.52E-08,5.49E-08,-4.08E-06,,,,
-1.7297,-8.91E-08,-8.12E-08,-5.14E-06,-1.0348,2.34E-08,5.36E-08,-4.01E-06,,,,
-1.7426,-8.77E-08,-8.32E-08,-5.28E-06,-1.0478,2.32E-08,5.17E-08,-3.94E-06,,,,
-1.7554,-8.64E-08,-8.51E-08,-5.42E-06,-1.0607,2.29E-08,4.97E-08,-3.88E-06,,,,
-1.7683,-8.50E-08,-8.71E-08,-5.55E-06,-1.0736,2.34E-08,4.71E-08,-3.82E-06,,,,
-1.7812,-8.88E-08,-9.51E-08,-5.76E-06,-1.0866,2.72E-08,4.10E-08,-3.76E-06,,,,
-1.7941,-9.43E-08,-1.05E-07,-5.98E-06,-1.0995,3.11E-08,3.48E-08,-3.70E-06,,,,
-1.8069,-9.98E-08,-1.15E-07,-6.20E-06,-1.1124,3.50E-08,2.87E-08,-3.64E-06,,,,
-1.8198,-1.05E-07,-1.24E-07,-6.42E-06,-1.1254,3.45E-08,2.45E-08,-3.59E-06,,,,
-1.8327,-1.03E-07,-1.12E-07,-6.67E-06,-1.1383,2.95E-08,2.22E-08,-3.54E-06,,,,
-1.8455,-1.00E-07,-9.96E-08,-6.93E-06,-1.1512,2.44E-08,2.00E-08,-3.48E-06,,,,
-1.8584,-9.80E-08,-8.76E-08,-7.18E-06,-1.1642,1.94E-08,1.78E-08,-3.43E-06,,,,
-1.8713,-8.83E-08,-7.83E-08,-7.41E-06,-1.1771,1.39E-08,1.34E-08,-3.40E-06,,,,
-1.8842,-6.52E-08,-7.40E-08,-7.59E-06,-1.19,8.36E-09,8.47E-09,-3.37E-06,,,,
-1.897,-4.20E-08,-6.97E-08,-7.77E-06,-1.203,4.32E-09,5.56E-09,-3.34E-06,,,,
-1.9099,-4.92E-08,-5.18E-08,-8.11E-06,-1.2159,3.21E-09,6.13E-09,-3.32E-06,,,,
-1.9228,-6.01E-08,-4.29E-08,-8.39E-06,-1.2289,3.00E-09,4.74E-09,-3.30E-06,,,,
-1.9356,-6.60E-08,-5.76E-08,-8.67E-06,-1.2418,2.93E-09,3.86E-09,-3.28E-06,,,,
-1.9485,-5.52E-08,-7.62E-08,-8.99E-06,-1.2547,3.10E-09,2.52E-09,-3.27E-06,,,,
-1.9614,-2.51E-09,-3.47E-09,-9.30E-06,-1.2677,6.02E-10,2.82E-09,-3.25E-06,,,,
-1.9743,-4.53E-08,-6.40E-08,-9.74E-06,-1.2806,1.49E-09,1.10E-09,-3.24E-06,,,,
-1.9871,-4.62E-08,-6.49E-08,-1.01E-05,-1.2935,1.16E-09,1.68E-10,-3.23E-06,,,,
-2,-5.16E-08,-4.78E-08,-1.05E-05,-1.3065,3.25E-10,1.09E-09,-3.23E-06,,,,
,,,,-1.3194,-6.96E-10,1.54E-10,-3.23E-06,,,,
,,,,-1.3323,-2.27E-09,-4.18E-10,-3.23E-06,,,,
,,,,-1.3453,-3.90E-09,-9.51E-10,-3.24E-06,,,,
,,,,-1.3582,-4.63E-09,-1.85E-09,-3.25E-06,,,,
,,,,-1.3711,-4.85E-09,-2.95E-09,-3.25E-06,,,,
,,,,-1.3841,-4.92E-09,-3.69E-09,-3.27E-06,,,,
,,,,-1.397,-3.79E-09,-4.00E-09,-3.29E-06,,,,
,,,,-1.41,-3.09E-10,-4.80E-09,-3.31E-06,,,,
