,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_1 à 1 A (T),By_1 à 1 A (T),Bz_1 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_2 à 1 A (T),By_2 à 1 A (T),Bz_2 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_3 à 1 A (T),By_3 à 1 A (T),Bz_3 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_4 à 1 A (T),By_4 à 1 A (T),Bz_4 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),z (m),Bx_5 à 1 A (T),By_5 à 1 A (T),Bz_5 à 1 A (T),,Bsum_terre sur axe (T),Bx_terre sur axe (T),By_terre sur axe (T),Bz_terre sur axe (T)
-0.7000,,,6.0754E-07,0,,,,-0.7,4.01E-09,4.29E-09,9.58E-07,0.00E+00,,,,-0.7,9.21E-10,9.65E-10,1.35E-07,0.00E+00,,,,-7.00E-01,4.28E-10,2.83E-10,5.74E-08,0.00E+00,8.72E-11,8.32E-11,5.71E-09,-7.00E-01,7.24E-09,4.58E-11,1.11E-08,0,-3.33E-11,-3.17E-11,7.24E-09,,8.67E-06,1.06E-07,1.03E-07,-8.67E-06
-0.7129,,,5.8571E-07,-0.025743,,,,-0.71287,1.45E-09,6.73E-10,9.84E-07,-2.57E-02,,,,-0.71287,3.50E-10,1.65E-10,1.42E-07,-2.57E-02,,,,-7.13E-01,5.11E-10,3.68E-10,5.96E-08,-1.29E-02,1.10E-10,1.04E-10,6.16E-09,-7.13E-01,7.02E-09,6.00E-11,1.15E-08,-0.025743,-4.08E-11,-3.71E-11,7.02E-09,,8.42E-06,1.02E-07,1.07E-07,-8.42E-06
-0.7257,,,5.6671E-07,-0.051485,,,,-0.725743,1.58E-09,2.21E-09,1.01E-06,-5.15E-02,,,,-0.725743,4.00E-10,5.56E-10,1.47E-07,-5.15E-02,,,,-7.26E-01,5.68E-10,5.23E-10,6.19E-08,-2.59E-02,1.09E-10,9.93E-11,6.30E-09,-7.26E-01,6.91E-09,8.56E-11,1.19E-08,-0.051485,-3.98E-11,-3.33E-11,6.91E-09,,8.22E-06,1.03E-07,1.03E-07,-8.22E-06
-0.7386,,,5.382E-07,-0.077228,,,,-0.738614,2.49E-09,2.64E-09,1.04E-06,-7.72E-02,,,,-0.738614,6.82E-10,7.21E-10,1.56E-07,-7.72E-02,,,,-7.39E-01,8.52E-10,2.11E-11,6.67E-08,-3.88E-02,1.08E-10,9.48E-11,6.44E-09,-7.39E-01,6.78E-09,3.50E-12,1.27E-08,-0.077228,-4.27E-11,-3.33E-11,6.78E-09,,7.55E-06,1.03E-07,4.69E-08,-7.55E-06
-0.7515,,,5.1942E-07,-0.10297,,,,-0.75149,1.93E-09,1.55E-09,1.06E-06,-1.03E-01,,,,-0.75149,5.61E-10,4.48E-10,1.63E-07,-1.03E-01,,,,-7.51E-01,5.49E-10,4.64E-10,6.93E-08,-5.17E-02,1.09E-10,9.20E-11,6.60E-09,-7.51E-01,6.64E-09,7.70E-11,1.31E-08,-1.03E-01,-4.54E-11,-3.42E-11,6.64E-09,,7.37E-06,9.02E-08,5.91E-08,-7.37E-06
-0.7644,,,4.989E-07,-0.12871,,,,-0.764356,2.40E-09,2.91E-09,1.09E-06,-1.29E-01,,,,-0.764356,7.43E-10,8.88E-10,1.71E-07,-1.29E-01,,,,-7.64E-01,1.68E-10,6.41E-10,7.22E-08,-6.47E-02,1.18E-10,9.57E-11,6.80E-09,-7.64E-01,6.47E-09,1.07E-10,1.36E-08,-1.29E-01,-4.71E-11,-4.00E-11,6.47E-09,,7.20E-06,7.77E-08,7.13E-08,-7.20E-06
-0.7772,,,4.8195E-07,-0.15446,,,,-0.777228,4.63E-09,4.47E-09,1.11E-06,-1.54E-01,,,,-0.777228,1.54E-09,1.48E-09,1.77E-07,-1.54E-01,,,,-7.77E-01,3.68E-10,6.66E-10,7.52E-08,-7.76E-02,1.27E-10,9.94E-11,7.00E-09,-7.77E-01,6.30E-09,1.12E-10,1.41E-08,-1.54E-01,-4.54E-11,-4.28E-11,6.30E-09,,6.99E-06,6.70E-08,7.37E-08,-6.99E-06
-0.7901,,,4.5865E-07,-0.1802,,,,-0.790099,4.30E-09,4.18E-09,1.14E-06,-1.80E-01,,,,-0.790099,1.57E-09,1.54E-09,1.88E-07,-1.80E-01,,,,-7.90E-01,7.99E-10,6.78E-10,7.87E-08,-9.05E-02,1.36E-10,1.03E-10,7.20E-09,-7.90E-01,6.15E-09,1.14E-10,1.47E-08,-0.1802,-3.43E-11,-3.76E-11,6.15E-09,,6.78E-06,5.69E-08,7.34E-08,-6.78E-06
-0.8030,,,4.3917E-07,-0.20594,,,,-0.80297,3.65E-09,3.73E-09,1.16E-06,-2.06E-01,,,,-0.80297,1.43E-09,1.48E-09,1.97E-07,-2.06E-01,,,,-8.03E-01,9.15E-10,8.41E-10,8.29E-08,-1.03E-01,1.48E-10,1.14E-10,7.44E-09,-8.03E-01,6.02E-09,1.43E-10,1.54E-08,-0.20594,-2.58E-11,-3.00E-11,6.02E-09,,6.57E-06,5.56E-08,7.51E-08,-6.57E-06
-0.8158,,,4.2315E-07,-0.23168,,,,-0.81584,2.78E-09,3.17E-09,1.18E-06,-2.32E-01,,,,-0.81584,1.16E-09,1.34E-09,2.05E-07,-2.32E-01,,,,-8.16E-01,1.58E-09,1.40E-09,8.66E-08,-1.16E-01,1.64E-10,1.36E-10,7.75E-09,-8.16E-01,5.93E-09,2.39E-10,1.60E-08,-0.23168,-2.21E-11,-1.79E-11,5.93E-09,,6.37E-06,6.25E-08,7.87E-08,-6.37E-06
