S (m),Z Coordinate (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
0,-0.7,-1.03E-12,-6.39E-13,1.17E-10
1.29E-02,-0.71287,-4.84E-13,-4.30E-13,1.14E-10
2.57E-02,-0.72574,-3.19E-13,-2.55E-13,1.12E-10
3.86E-02,-0.73861,-2.24E-13,-2.18E-13,1.09E-10
5.15E-02,-0.75149,-1.39E-13,-2.77E-13,1.07E-10
6.44E-02,-0.76436,-3.41E-13,-2.45E-13,1.04E-10
7.72E-02,-0.77723,-2.90E-13,-3.12E-13,1.01E-10
9.01E-02,-0.7901,-3.11E-13,-3.20E-13,9.85E-11
0.10297,-0.80297,-3.35E-13,-3.30E-13,9.57E-11
0.11584,-0.81584,-3.10E-13,-3.40E-13,9.30E-11
0.12871,-0.82871,-2.75E-13,-3.70E-13,9.02E-11
0.14158,-0.84158,-3.59E-13,-4.11E-13,8.74E-11
0.15446,-0.85446,-3.64E-13,-3.65E-13,8.43E-11
0.16733,-0.86733,-3.29E-13,-3.27E-13,8.16E-11
0.1802,-0.8802,-2.48E-13,-3.30E-13,7.91E-11
0.19307,-0.89307,-2.53E-13,-3.76E-13,7.64E-11
0.20594,-0.90594,-2.22E-13,-3.25E-13,7.39E-11
0.21881,-0.91881,-3.58E-13,-4.31E-13,7.13E-11
0.23168,-0.93168,-2.96E-13,-3.73E-13,6.82E-11
0.24455,-0.94455,-2.82E-13,-3.49E-13,6.56E-11
0.25743,-0.95743,-2.28E-13,-3.05E-13,6.32E-11
0.2703,-0.9703,-2.36E-13,-3.06E-13,6.08E-11
0.28317,-0.98317,-2.21E-13,-2.89E-13,5.84E-11
0.29604,-0.99604,-1.96E-13,-2.47E-13,5.61E-11
0.30891,-1.0089,-2.08E-13,-2.56E-13,5.40E-11
0.32178,-1.0218,-2.31E-13,-2.55E-13,5.19E-11
0.33465,-1.0347,-1.83E-13,-1.65E-13,4.96E-11
0.34752,-1.0475,-1.64E-13,-1.48E-13,4.77E-11
0.3604,-1.0604,-1.45E-13,-1.49E-13,4.57E-11
0.37327,-1.0733,-1.37E-13,-1.49E-13,4.38E-11
0.38614,-1.0861,-1.30E-13,-1.51E-13,4.20E-11
0.39901,-1.099,-1.37E-13,-1.50E-13,4.02E-11
0.41188,-1.1119,-1.77E-13,-1.58E-13,3.86E-11
0.42475,-1.1248,-1.77E-13,-1.75E-13,3.69E-11
0.43762,-1.1376,-1.64E-13,-2.01E-13,3.53E-11
0.4505,-1.1505,-1.57E-13,-2.15E-13,3.37E-11
0.46337,-1.1634,-1.17E-13,-1.62E-13,3.22E-11
0.47624,-1.1762,-1.36E-13,-1.94E-13,3.08E-11
0.48911,-1.1891,-1.48E-13,-1.55E-13,2.94E-11
0.50198,-1.202,-1.80E-13,-1.45E-13,2.81E-11
0.51485,-1.2149,-1.82E-13,-1.48E-13,2.69E-11
0.52772,-1.2277,-1.62E-13,-1.42E-13,2.57E-11
0.54059,-1.2406,-1.49E-13,-1.36E-13,2.45E-11
0.55347,-1.2535,-1.29E-13,-1.25E-13,2.33E-11
0.56634,-1.2663,-9.06E-14,-1.19E-13,2.23E-11
0.57921,-1.2792,-1.36E-13,-1.02E-13,2.15E-11
0.59208,-1.2921,-1.00E-13,-7.54E-14,2.02E-11
0.60495,-1.305,-8.74E-14,-8.67E-14,1.94E-11
0.61782,-1.3178,-9.13E-14,-1.07E-13,1.85E-11
0.63069,-1.3307,-1.62E-13,-1.81E-13,1.76E-11
0.64356,-1.3436,-2.41E-13,-2.51E-13,1.69E-11
0.65644,-1.3564,-2.52E-13,-2.45E-13,1.61E-11
0.66931,-1.3693,-2.63E-13,-2.40E-13,1.54E-11
0.68218,-1.3822,-2.44E-13,-1.96E-13,1.46E-11
0.69505,-1.395,-2.25E-13,-1.50E-13,1.38E-11
0.70792,-1.4079,-1.22E-13,-1.13E-13,1.32E-11
0.72079,-1.4208,-1.43E-14,-7.92E-14,1.27E-11
0.73366,-1.4337,-6.00E-14,-5.19E-14,1.21E-11
0.74653,-1.4465,-4.62E-14,-6.00E-14,1.16E-11
0.75941,-1.4594,-7.37E-14,-3.42E-14,1.09E-11
0.77228,-1.4723,-5.49E-14,-5.62E-14,1.05E-11
0.78515,-1.4851,-5.32E-14,-7.11E-14,1.00E-11
0.79802,-1.498,-4.96E-14,-3.67E-14,9.48E-12
0.81089,-1.5109,-3.92E-14,-2.90E-14,9.05E-12
0.82376,-1.5238,-3.66E-14,-3.45E-14,8.67E-12
0.83663,-1.5366,-4.08E-14,-1.82E-14,8.36E-12
0.8495,-1.5495,-4.63E-14,-4.91E-14,7.95E-12
0.86238,-1.5624,-4.64E-14,-4.56E-14,7.56E-12
0.87525,-1.5752,-4.30E-14,-4.06E-14,7.20E-12
0.88812,-1.5881,-4.11E-14,-3.77E-14,6.86E-12
0.90099,-1.601,-4.00E-14,-3.57E-14,6.53E-12
0.91386,-1.6139,-3.61E-14,-3.20E-14,6.22E-12
0.92673,-1.6267,-3.02E-14,-2.49E-14,5.94E-12
0.9396,-1.6396,-3.18E-14,-1.92E-14,5.67E-12
0.95248,-1.6525,-3.24E-14,-1.89E-14,5.41E-12
0.96535,-1.6653,-2.30E-14,-1.62E-14,5.16E-12
0.97822,-1.6782,-2.57E-14,-1.96E-14,4.94E-12
0.99109,-1.6911,-2.77E-14,-2.32E-14,4.72E-12
1.004,-1.704,-2.53E-14,-1.81E-14,4.48E-12
1.0168,-1.7168,-2.01E-14,-1.71E-14,4.27E-12
1.0297,-1.7297,-2.55E-14,-2.36E-14,4.10E-12
1.0426,-1.7426,-2.28E-14,-1.81E-14,3.90E-12
1.0554,-1.7554,-2.22E-14,-1.72E-14,3.73E-12
1.0683,-1.7683,-2.01E-14,-1.72E-14,3.56E-12
1.0812,-1.7812,-1.57E-14,-1.47E-14,3.40E-12
1.0941,-1.7941,-1.79E-14,-1.68E-14,3.25E-12
