Node Number,X Location (m),Y Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,0,-0.17931,1.18E-12,-2.15E-12,7.20E-11
39782,0.64,0,-0.35862,1.47E-12,-1.58E-12,7.56E-11
39772,0.64,0,-0.65747,2.67E-12,-1.44E-12,-1.12E-11
39722,0.64,0,-2.1517,-1.67E-11,2.15E-12,-1.47E-09
39990,0.635,0,-2.3609,-1.31E-11,-3.90E-13,-4.99E-10
31771,0.6375,0,-2.3759,-6.02E-12,-1.81E-12,-4.37E-10
39989,0.635,0,-2.3908,-1.02E-11,1.38E-12,-3.89E-10
39715,0.64,0,-2.3609,-5.93E-12,6.78E-14,-4.83E-10
39738,0.64,0,-1.6736,2.60E-10,-4.37E-09,-1.95E-08
39739,0.64,0,-1.6437,1.18E-10,-5.72E-10,-1.38E-08
40013,0.635,0,-1.6736,-2.88E-10,-7.59E-10,-2.21E-08
39762,0.64,0,-0.95632,6.40E-12,-1.55E-12,-4.01E-10
39732,0.64,0,-1.8529,-7.32E-11,3.47E-11,-6.41E-09
39781,0.64,0,-0.38851,1.54E-12,-1.60E-12,7.34E-11
39787,0.64,0,-0.2092,1.12E-12,-1.72E-12,7.45E-11
39785,0.64,0,-0.26897,1.28E-12,-1.62E-12,7.75E-11
39716,0.64,0,-2.331,-7.98E-12,1.29E-12,-5.72E-10
32050,0.6375,0,-0.37356,1.44E-12,-5.82E-13,7.47E-11
40057,0.635,0,-0.35862,1.14E-12,-5.92E-13,7.62E-11
40014,0.635,0,-1.6437,2.44E-10,-1.93E-10,-1.35E-08
40061,0.635,0,-0.23908,7.19E-13,-6.37E-13,7.67E-11
39786,0.64,0,-0.23908,1.27E-12,-1.71E-12,7.64E-11
39777,0.64,0,-0.50805,1.91E-12,-1.48E-12,5.21E-11
39767,0.64,0,-0.8069,4.00E-12,-1.53E-12,-1.44E-10
39757,0.64,0,-1.1057,1.09E-11,-1.55E-12,-8.84E-10
39742,0.64,0,-1.554,8.94E-11,-3.97E-11,-7.80E-09
39727,0.64,0,-2.0023,-3.25E-11,5.54E-12,-3.02E-09
39717,0.64,0,-2.3011,-9.09E-12,1.49E-12,-6.81E-10
39779,0.64,0,-0.44828,1.68E-12,-1.43E-12,6.56E-11
39780,0.64,0,-0.41839,1.63E-12,-1.64E-12,6.97E-11
32041,0.6375,0,-0.43333,1.34E-12,-1.48E-27,6.78E-11
40055,0.635,0,-0.41839,1.54E-12,-2.89E-13,6.99E-11
39774,0.64,0,-0.5977,2.29E-12,-1.49E-12,2.11E-11
39775,0.64,0,-0.56782,2.17E-12,-1.70E-12,3.27E-11
32019,0.6375,0,-0.58276,2.04E-12,-1.33E-27,2.70E-11
40050,0.635,0,-0.56782,2.46E-12,-1.95E-13,3.18E-11
39769,0.64,0,-0.74713,3.40E-12,-1.97E-12,-7.85E-11
39770,0.64,0,-0.71724,3.08E-12,-1.68E-12,-5.39E-11
32000,0.6375,0,-0.73218,3.28E-12,1.59E-26,-6.55E-11
40045,0.635,0,-0.71724,4.27E-12,-6.38E-13,-5.38E-11
39764,0.64,0,-0.89655,5.21E-12,-1.97E-12,-2.76E-10
39765,0.64,0,-0.86667,4.71E-12,-1.87E-12,-2.28E-10
31979,0.6375,0,-0.88161,5.54E-12,1.22E-26,-2.51E-10
40040,0.635,0,-0.86667,7.30E-12,-1.02E-12,-2.29E-10
39759,0.64,0,-1.046,8.59E-12,-2.70E-12,-6.50E-10
39760,0.64,0,-1.0161,7.64E-12,-2.10E-12,-5.60E-10
31960,0.6375,0,-1.031,9.60E-12,-1.47E-26,-6.03E-10
40035,0.635,0,-1.0161,1.28E-11,-1.72E-12,-5.61E-10
39754,0.64,0,-1.1954,1.50E-11,-4.10E-12,-1.35E-09
39755,0.64,0,-1.1655,1.32E-11,-2.72E-12,-1.18E-09
31938,0.6375,0,-1.1805,1.71E-11,-1.03E-25,-1.27E-09
