Node Number,X Location (m),Z Location (m),Directional Magnetic Flux Density Bx (T),Directional Magnetic Flux Density By (T),Directional Magnetic Flux Density Bz (T)
39788,0.64,-0.17931,3.79E-12,-8.82E-12,3.70E-10
39782,0.64,-0.35862,3.95E-12,-6.92E-12,5.13E-10
39772,0.64,-0.65747,4.13E-12,-6.24E-12,7.04E-10
39722,0.64,-2.1517,1.46E-10,6.70E-10,-1.99E-08
39990,0.635,-2.3609,-2.10E-10,-1.29E-12,-7.75E-09
31771,0.6375,-2.3759,-8.31E-11,-3.05E-11,-6.66E-09
39989,0.635,-2.3908,-1.50E-10,1.84E-11,-5.86E-09
39715,0.64,-2.3609,-8.38E-11,1.18E-11,-7.47E-09
39738,0.64,-1.6736,1.33E-11,-6.94E-12,2.99E-10
39739,0.64,-1.6437,1.30E-11,-6.73E-12,4.09E-10
40013,0.635,-1.6736,1.88E-11,-3.84E-12,3.11E-10
39762,0.64,-0.95632,4.66E-12,-6.29E-12,8.52E-10
39732,0.64,-1.8529,2.49E-11,-6.93E-12,-7.37E-10
39781,0.64,-0.38851,3.83E-12,-6.85E-12,5.33E-10
39787,0.64,-0.2092,3.20E-12,-6.92E-12,3.96E-10
39785,0.64,-0.26897,3.81E-12,-6.50E-12,4.45E-10
39716,0.64,-2.331,-1.20E-10,6.40E-11,-9.12E-09
32050,0.6375,-0.37356,4.45E-12,-3.32E-12,5.23E-10
40057,0.635,-0.35862,3.36E-13,-2.72E-12,5.12E-10
40014,0.635,-1.6437,1.78E-11,-3.87E-12,4.11E-10
40061,0.635,-0.23908,4.55E-13,-2.51E-12,4.22E-10
39786,0.64,-0.23908,3.95E-12,-7.10E-12,4.22E-10
39777,0.64,-0.50805,3.96E-12,-6.27E-12,6.12E-10
39767,0.64,-0.8069,4.31E-12,-6.26E-12,7.85E-10
39757,0.64,-1.1057,5.18E-12,-6.36E-12,8.97E-10
39742,0.64,-1.554,1.02E-11,-6.11E-12,6.31E-10
39727,0.64,-2.0023,4.66E-11,-1.26E-11,-2.69E-09
39717,0.64,-2.3011,-1.15E-10,1.40E-10,-1.11E-08
39779,0.64,-0.44828,3.88E-12,-5.58E-12,5.74E-10
39780,0.64,-0.41839,4.04E-12,-6.83E-12,5.54E-10
32041,0.6375,-0.43333,1.83E-12,-2.03E-27,5.64E-10
40055,0.635,-0.41839,1.34E-12,-6.02E-13,5.55E-10
39774,0.64,-0.5977,4.11E-12,-5.64E-12,6.68E-10
39775,0.64,-0.56782,4.82E-12,-7.16E-12,6.49E-10
32019,0.6375,-0.58276,1.97E-12,1.99E-28,6.59E-10
40050,0.635,-0.56782,8.88E-13,-3.59E-13,6.49E-10
39769,0.64,-0.74713,4.15E-12,-5.75E-12,7.54E-10
39770,0.64,-0.71724,4.40E-12,-6.77E-12,7.37E-10
32000,0.6375,-0.73218,2.15E-12,1.04E-26,7.45E-10
40045,0.635,-0.71724,2.16E-12,-8.49E-13,7.39E-10
39764,0.64,-0.89655,4.51E-12,-5.55E-12,8.27E-10
39765,0.64,-0.86667,4.65E-12,-6.66E-12,8.13E-10
31979,0.6375,-0.88161,2.41E-12,7.52E-27,8.20E-10
40040,0.635,-0.86667,2.67E-12,-9.65E-13,8.15E-10
39759,0.64,-1.046,4.96E-12,-5.60E-12,8.83E-10
39760,0.64,-1.0161,5.07E-12,-6.72E-12,8.72E-10
31960,0.6375,-1.031,2.87E-12,-1.88E-27,8.77E-10
40035,0.635,-1.0161,3.43E-12,-1.12E-12,8.75E-10
39754,0.64,-1.1954,5.65E-12,-5.67E-12,9.06E-10
39755,0.64,-1.1655,5.73E-12,-6.68E-12,9.04E-10
31938,0.6375,-1.1805,3.64E-12,-2.19E-26,9.05E-10
40030,0.635,-1.1655,4.58E-12,-1.30E-12,9.06E-10
39749,0.64,-1.3448,6.70E-12,-7.52E-12,8.72E-10
39750,0.64,-1.3149,6.79E-12,-6.65E-12,8.83E-10
31916,0.6375,-1.3299,5.07E-12,1.23E-26,8.79E-10
40025,0.635,-1.3149,6.64E-12,-1.70E-12,8.86E-10
39729,0.64,-1.9425,3.51E-11,-1.26E-11,-1.70E-09
39730,0.64,-1.9126,3.07E-11,-9.85E-12,-1.35E-09
31833,0.6375,-1.9276,3.78E-11,5.58E-25,-1.52E-09
40005,0.635,-1.9126,5.13E-11,-7.61E-12,-1.35E-09
39724,0.64,-2.092,7.10E-11,-1.19E-10,-5.08E-09
39725,0.64,-2.0621,6.06E-11,-3.72E-11,-4.10E-09
31812,0.6375,-2.077,7.34E-11,2.08E-25,-4.54E-09
40000,0.635,-2.0621,1.07E-10,-1.86E-11,-4.12E-09
39771,0.64,-0.68736,4.16E-12,-6.84E-12,7.20E-10
39766,0.64,-0.83678,4.37E-12,-6.82E-12,7.99E-10
39761,0.64,-0.98621,4.73E-12,-6.88E-12,8.62E-10
39751,0.64,-1.2851,6.28E-12,-6.78E-12,8.94E-10
39746,0.64,-1.4345,7.99E-12,-6.63E-12,8.06E-10
39744,0.64,-1.4943,9.50E-12,-6.91E-12,7.35E-10
39741,0.64,-1.5839,1.10E-11,-6.47E-12,5.68E-10
39736,0.64,-1.7333,1.68E-11,-6.40E-12,5.36E-11
39734,0.64,-1.7931,2.21E-11,-9.43E-12,-2.87E-10
39731,0.64,-1.8828,2.81E-11,-7.28E-12,-1.01E-09
39726,0.64,-2.0322,5.47E-11,-1.69E-11,-3.30E-09
39721,0.64,-2.1816,1.80E-10,-1.21E-08,-1.94E-08
39719,0.64,-2.2414,3.17E-11,1.27E-09,-1.54E-08
39720,0.64,-2.2115,-1.86E-10,6.89E-09,-2.41E-08
39737,0.64,-1.7034,1.53E-11,-7.18E-12,1.81E-10
39745,0.64,-1.4644,8.20E-12,-6.17E-12,7.70E-10
39747,0.64,-1.4046,7.59E-12,-6.91E-12,8.30E-10
39752,0.64,-1.2552,5.90E-12,-5.65E-12,9.00E-10
39709,0.64,-2.5402,-4.62E-11,3.55E-11,-1.68E-09
39710,0.64,-2.5103,-3.12E-11,1.24E-11,-2.27E-09
39985,0.635,-2.5103,-7.74E-11,8.73E-12,-2.24E-09
31744,0.6375,-2.5253,-2.53E-11,-7.22E-12,-1.96E-09
40064,0.635,-0.14943,1.36E-12,-8.54E-12,3.43E-10
40063,0.635,-0.17931,7.43E-13,-2.39E-12,3.73E-10
40062,0.635,-0.2092,-6.24E-13,3.34E-13,3.95E-10
40060,0.635,-0.26897,4.30E-13,-3.55E-12,4.51E-10
39735,0.64,-1.7632,1.76E-11,-5.02E-12,-1.15E-10
39987,0.635,-2.4506,-8.73E-11,1.41E-11,-3.72E-09
39712,0.64,-2.4506,-1.67E-11,5.07E-12,-3.65E-09
31759,0.6375,-2.4356,-5.56E-11,-2.00E-12,-4.21E-09
39756,0.64,-1.1356,5.41E-12,-7.18E-12,9.00E-10
31901,0.6375,-1.4494,7.49E-12,-3.62E-12,7.92E-10
40020,0.635,-1.4644,1.02E-11,-2.48E-12,7.70E-10
31858,0.6375,-1.7483,1.80E-11,-5.48E-13,-2.77E-11
40010,0.635,-1.7632,2.89E-11,-4.48E-12,-1.10E-10
31795,0.6375,-2.1966,1.18E-10,3.25E-10,-3.56E-08
39995,0.635,-2.2115,3.29E-10,9.04E-10,-2.47E-08
39714,0.64,-2.3908,-8.28E-11,3.40E-11,-5.98E-09
39984,0.635,-2.5402,-5.36E-11,2.94E-11,-1.56E-09
39740,0.64,-1.6138,1.23E-11,-6.73E-12,4.92E-10
40015,0.635,-1.6138,1.69E-11,-3.08E-12,4.88E-10
39776,0.64,-0.53793,4.34E-12,-6.51E-12,6.30E-10
39743,0.64,-1.5241,9.09E-12,-7.13E-12,6.83E-10
39768,0.64,-0.77701,4.08E-12,-7.22E-12,7.70E-10
39758,0.64,-1.0759,4.77E-12,-7.23E-12,8.90E-10
39753,0.64,-1.2253,5.63E-12,-7.16E-12,9.04E-10
39723,0.64,-2.1218,6.82E-11,-1.78E-09,-7.79E-09
39718,0.64,-2.2713,-6.43E-11,4.09E-10,-1.30E-08
39728,0.64,-1.9724,4.40E-11,-1.24E-11,-2.19E-09
39733,0.64,-1.823,2.38E-11,-8.08E-12,-5.07E-10
39763,0.64,-0.92644,4.19E-12,-7.41E-12,8.41E-10
39773,0.64,-0.62759,3.76E-12,-7.38E-12,6.87E-10
39778,0.64,-0.47816,3.63E-12,-7.55E-12,5.94E-10
31753,0.6375,-2.4655,-5.03E-11,-1.13E-11,-3.32E-09
39713,0.64,-2.4207,-2.00E-11,-2.89E-12,-4.66E-09
31775,0.6375,-2.346,-6.60E-11,-4.19E-11,-8.26E-09
39991,0.635,-2.331,-2.32E-10,1.74E-11,-9.26E-09
31778,0.6375,-2.3161,-6.67E-11,-2.04E-11,-1.02E-08
39992,0.635,-2.3011,-2.02E-10,6.24E-11,-1.13E-08
31783,0.6375,-2.2862,-3.69E-11,3.39E-11,-1.22E-08
39993,0.635,-2.2713,-8.01E-11,6.31E-11,-1.30E-08
39994,0.635,-2.2414,1.83E-10,8.67E-10,-1.65E-08
31790,0.6375,-2.2264,2.37E-10,9.89E-10,-1.78E-08
39999,0.635,-2.092,1.45E-10,-6.65E-11,-4.97E-09
31799,0.6375,-2.1667,5.54E-10,4.91E-09,-1.04E-08
39997,0.635,-2.1517,4.41E-10,-3.03E-09,-3.04E-08
31803,0.6375,-2.1368,-6.04E-10,-3.48E-09,-1.49E-08
39998,0.635,-2.1218,6.13E-11,-1.06E-09,-1.00E-08
40004,0.635,-1.9425,6.48E-11,-1.45E-11,-1.67E-09
31820,0.6375,-2.0172,3.24E-11,1.15E-11,-2.99E-09
40002,0.635,-2.0023,8.31E-11,-1.31E-12,-2.64E-09
31825,0.6375,-1.9874,2.87E-11,1.06E-11,-2.41E-09
40003,0.635,-1.9724,7.09E-11,-5.85E-12,-2.16E-09
31840,0.6375,-1.8678,1.85E-11,4.97E-12,-8.69E-10
40007,0.635,-1.8529,4.10E-11,-1.06E-12,-7.13E-10
31845,0.6375,-1.8379,1.68E-11,4.24E-12,-6.08E-10
40008,0.635,-1.823,3.56E-11,-2.95E-12,-4.96E-10
40009,0.635,-1.7931,3.25E-11,-5.26E-12,-2.56E-10
31853,0.6375,-1.7782,1.41E-11,2.30E-12,-1.94E-10
31863,0.6375,-1.7184,1.21E-11,1.27E-12,1.21E-10
40012,0.635,-1.7034,2.29E-11,-3.67E-12,1.84E-10
31875,0.6375,-1.6287,9.87E-12,-8.58E-14,4.51E-10
31884,0.6375,-1.569,8.74E-12,-7.15E-13,6.01E-10
40017,0.635,-1.554,1.23E-11,-2.20E-12,6.39E-10
31888,0.6375,-1.5391,8.30E-12,-9.54E-13,6.61E-10
40018,0.635,-1.5241,1.10E-11,-1.52E-12,6.78E-10
40019,0.635,-1.4943,9.44E-12,-3.47E-12,7.45E-10
31896,0.6375,-1.4793,7.56E-12,-1.51E-12,7.54E-10
31904,0.6375,-1.4195,6.99E-12,-1.78E-12,8.20E-10
40022,0.635,-1.4046,8.53E-12,-2.19E-12,8.30E-10
39748,0.64,-1.3747,7.12E-12,-8.40E-12,8.51E-10
40023,0.635,-1.3747,7.87E-12,-3.95E-12,8.67E-10
40024,0.635,-1.3448,5.31E-12,-6.59E-12,8.72E-10
40029,0.635,-1.1954,1.94E-12,-1.62E-12,9.08E-10
31926,0.6375,-1.2701,5.93E-12,-2.42E-12,8.98E-10
40027,0.635,-1.2552,4.17E-12,-2.54E-12,9.03E-10
31930,0.6375,-1.2402,5.80E-12,-2.49E-12,9.03E-10
40028,0.635,-1.2253,3.95E-12,-1.11E-12,8.95E-10
40034,0.635,-1.046,6.98E-13,-1.36E-12,8.83E-10
31947,0.6375,-1.1207,5.38E-12,-2.92E-12,9.00E-10
40032,0.635,-1.1057,2.56E-12,-2.58E-12,8.89E-10
31952,0.6375,-1.0908,5.31E-12,-2.82E-12,8.94E-10
40033,0.635,-1.0759,2.54E-12,-1.04E-12,8.81E-10
40039,0.635,-0.89655,-3.42E-14,-1.19E-12,8.28E-10
31967,0.6375,-0.97126,5.03E-12,-2.96E-12,8.58E-10
40037,0.635,-0.95632,1.81E-12,-2.64E-12,8.52E-10
31972,0.6375,-0.94138,4.97E-12,-2.99E-12,8.46E-10
40038,0.635,-0.92644,1.67E-12,-9.32E-13,8.32E-10
40044,0.635,-0.74713,-2.43E-13,-1.08E-12,7.54E-10
31988,0.6375,-0.82184,4.79E-12,-3.02E-12,7.92E-10
40042,0.635,-0.8069,1.17E-12,-2.68E-12,7.85E-10
31992,0.6375,-0.79195,4.76E-12,-3.05E-12,7.77E-10
40043,0.635,-0.77701,1.26E-12,-9.85E-13,7.62E-10
40049,0.635,-0.5977,-1.89E-13,-9.93E-13,6.67E-10
32008,0.6375,-0.67241,4.69E-12,-3.12E-12,7.13E-10
40047,0.635,-0.65747,9.61E-13,-2.67E-12,7.03E-10
32012,0.6375,-0.64253,4.66E-12,-3.15E-12,6.95E-10
40048,0.635,-0.62759,9.23E-13,-9.09E-13,6.80E-10
39790,0.64,-0.11954,4.13E-12,-7.70E-12,3.11E-10
40065,0.635,-0.11954,-7.86E-13,-3.42E-12,3.11E-10
32085,0.6375,-0.13448,2.75E-12,-3.82E-12,3.28E-10
32089,0.6375,-0.1046,2.15E-12,-7.34E-12,2.97E-10
39791,0.64,-8.97E-02,6.33E-12,-6.63E-12,2.63E-10
40054,0.635,-0.44828,-5.52E-13,-9.63E-13,5.73E-10
